customer_id,first_name,last_name,email,phone,signup_date,country,age,income,loyalty_points
1.0,quinn,Johnson,quinn.johnson@gmail.com,+1-673-370-4969,"Sep 07, 2021",Germany,52,,N/A
2.0,Nancy,Garcia,nancy.garcia@yahoo.com,(597) 290-5204,03-29-2022,U.S.,,,points
3.0,Bob,YOUNG,bob.young@hotmail.com,+1-505-270-1020,03/01/2020,CA,thirty,$39082,3629
,Liam,Williams,liam.williams@hotmail.com,2294026167,2018-05-20,Australia,thirty,$94256,N/A
5.0,KAREN,Jones,karen.jones@hotmail.com,7610727695,2021-06-26,Canada,unknown,,N/A
,quinn,Clark,quinn.clark@example.com,,12-02-2024,,58,N/A,
7.0,FRANK,martin,frank.martin@yahoo.com,7923136187,"Jul 03, 2021",Australia,thirty,42281,2567
,CHARLIE,brown,charlie.brown@gmail.com,8775777878,21/05/2025,France,,$73513,points
,BOB, Davis ,bob.davis@gmail.com,2733598167,"Apr 21, 2023",Germany,thirty,48218,points
10.0,frank,Miller,frank.miller@mail.com,1369447678,06/05/2021,U.S.,,N/A,N/A
11.0,KAREN,Allen,karen.allen@example.com,,15/10/2022,Germany,thirty,,points
12.0,liam,allen,liam.allen@example.com,6065761016,"Sep 26, 2019",CA,31,,2080
13.0,Diana,Miller,diana.miller@example.com,(621) 877-4866,08-22-2025,CA,thirty,N/A,3487
14.0,Eve,LEWIS,eve.lewis@hotmail.com,7342519265,2017-06-24,United States,thirty,N/A,183
15.0,sam,Hall,sam.hall@yahoo.com,1562089079,23/07/2018,UK,-5,$71385,N/A
16.0,mike,miller,mike.miller@mail.com,,"Aug 05, 2016",,thirty,64009,
,bob,CLARK,bob.clark@gmail.com,(693) 716-9368,2025-05-23,U.S.,,,N/A
,nancy, Davis ,nancy.davis@example.com,(915) 170-9266,2021-02-05,CA,thirty,,
,Sam,king,sam.king@mail.com,+1-690-834-1903,"May 05, 2023",United Kingdom,,41679,N/A
, Jack , Hall ,jack.hall@yahoo.com,8148235877,2022-11-04,australia,unknown,N/A,3754
21.0,Diana,SMITH,diana.smith@mail.com,+1-198-565-2942,"Dec 23, 2016",United Kingdom,thirty,77966,points
22.0,sam, Miller ,sam.miller@yahoo.com,(381) 967-8846,2016-06-19,England,37,N/A,
23.0,bob,LEE,bob.lee@yahoo.com,(441) 839-8360,2021-07-06,france,15,101438,
24.0,Mike,Miller,mike.miller@example.com,(787) 764-3249,05-23-2017,USA,unknown,86301,4537
25.0,Alice,brown,alice.brown@mail.com,,2022-05-22,CA,-5,,
26.0,liam,RODRIGUEZ,liam.rodriguez@example.com,+1-328-491-9020,04-15-2021,,unknown,54038,N/A
,Nancy,walker,nancy.walker@gmail.com,6443059777,"Aug 04, 2025",United Kingdom,69,$25978,
28.0, Jack ,Lee,jack.lee@gmail.com,1125345536,2015-12-17,United States,34,$70473,2120
29.0, Quinn , Rodriguez ,quinn.rodriguez@gmail.com,,25/02/2021,United States,unknown,,
,KAREN,Miller,karen.miller@mail.com,(970) 998-8649,2019-01-27,United Kingdom,unknown,$80208,N/A
31.0,charlie, Jones ,charlie.jones@mail.com,,"Oct 19, 2024",United Kingdom,thirty,,2323
,Rita,Lewis,rita.lewis@example.com,(602) 725-1284,31/05/2022,france,,N/A,points
33.0,Hank,king,hank.king@mail.com,,11-20-2021,Canada,-5,N/A,
,paul,rodriguez,paul.rodriguez@example.com,6646373171,2018-05-22,United Kingdom,thirty,,2368
35.0, Charlie ,GARCIA,charlie.garcia@mail.com,+1-577-919-9619,2017-03-15,Canada,-5,79222,points
, Oscar ,CLARK,oscar.clark@hotmail.com,+1-443-791-5651,2022-10-25,UK,,115453,N/A
,Sam,GARCIA,sam.garcia@mail.com,,"Oct 25, 2016",U.S.,unknown,,
38.0,Nancy,Wilson,nancy.wilson@gmail.com,(470) 996-8562,"Sep 27, 2016",france,28,N/A,points
,Nancy,williams,nancy.williams@yahoo.com,,10/02/2016,England,thirty,21728,points
40.0, Tina ,Jones,tina.jones@hotmail.com,+1-525-371-3374,01/06/2015,CA,,N/A,
,Ivy,KING,ivy.king@hotmail.com,+1-446-965-5802,2023-07-11,france,26,$23247,points
,QUINN,Williams,quinn.williams@mail.com,(270) 396-5708,2017-04-03,USA,,,N/A
43.0,Rita,Johnson,rita.johnson@gmail.com,7749244845,2024-12-20,England,-5,,
44.0,LIAM, Lewis ,liam.lewis@mail.com,(459) 268-9847,14/05/2017,UK,thirty,$83085,N/A
,ALICE, martin ,alice.martin@mail.com,+1-194-646-6248,"Apr 19, 2020",United States,-5,99147,
46.0,Quinn, Walker ,quinn.walker@gmail.com,8795608174,2018-07-07,CA,30,72502,points
